invoiceID,custID,salesDate
95,21,2008-08-01
96,34,2008-02-01
97,32,2007-03-20
98,1,2010-06-17
99,14,2008-09-05
100,38,2005-04-06
101,34,2009-03-27
102,22,2006-12-11
103,24,2011-10-29
104,6,2010-12-10
105,1,2005-01-07
106,8,2010-05-15
107,34,2007-03-26
108,7,2009-02-04
109,38,2010-09-20
110,4,2008-06-12
111,28,2006-04-06
112,23,2005-05-30
113,34,2007-07-08
114,31,2005-02-24
115,11,2010-10-14
116,32,2008-11-22
117,37,2010-03-19
118,1,2008-02-13
119,25,2007-04-10
120,21,2008-07-11
121,13,2006-11-06
122,21,2010-09-17
123,29,2007-10-18
124,25,2011-10-14
125,15,2009-02-27
126,10,2010-02-03
127,20,2006-09-18
128,8,2006-05-01
129,11,2007-06-21
130,34,2009-12-10
131,6,2007-06-07
132,5,2007-12-14
133,17,2007-06-17
134,30,2005-02-09
135,10,2009-01-08
136,17,2006-01-15
137,38,2010-01-12
138,5,2010-05-21
139,23,2009-12-18
140,36,2009-08-09
141,9,2007-02-16
142,12,2005-11-30
143,19,2010-11-01
144,3,2008-01-24
145,3,2008-04-23
146,30,2006-05-23
147,35,2008-05-18
148,1,2005-10-08
149,30,2005-01-09
150,20,2011-03-21
151,22,2010-07-16
152,3,2010-09-19
153,1,2011-01-12
154,11,2007-04-10
155,28,2007-11-07
156,15,2007-06-27
157,21,2007-01-23
158,9,2007-10-31
159,23,2010-11-18
160,31,2009-06-17
161,3,2010-03-24
162,28,2007-06-24
163,36,2010-12-08
164,19,2005-11-26
165,19,2008-05-16
166,7,2009-05-03
167,36,2006-06-28
168,17,2006-11-30
169,11,2007-11-18
170,19,2005-07-29
171,13,2007-10-18
172,20,2007-05-24
173,31,2011-04-21
174,32,2011-10-18
175,22,2005-07-03
176,33,2007-04-28
177,22,2005-05-02
178,17,2005-02-23
179,34,2007-02-12
180,13,2005-02-04
181,36,2010-07-07
182,16,2009-12-30
183,16,2011-05-24
184,36,2007-09-28
185,27,2005-03-11
186,5,2011-10-10
187,12,2008-11-04
188,8,2010-03-11
189,13,2010-05-08
190,35,2009-10-12
191,39,2010-10-19
192,16,2006-03-19
193,23,2008-04-09
194,35,2009-03-03
195,35,2009-12-31
196,3,2007-05-19
197,3,2008-04-01
198,31,2005-01-20
199,19,2007-02-02
200,14,2006-07-23
201,11,2006-08-07
202,32,2008-11-19
203,33,2009-08-16
204,2,2009-03-15
205,24,2010-07-06
206,15,2010-02-01
207,35,2009-04-17
208,7,2007-05-19
209,32,2009-08-18
210,29,2005-10-18
211,20,2011-02-11
212,29,2008-01-07
213,6,2006-06-28
214,35,2005-07-19
215,26,2009-07-07
216,32,2008-11-05
217,39,2010-12-25
218,38,2007-07-25
219,1,2008-07-07
220,13,2011-06-02
221,33,2006-08-11
222,39,2009-05-26
223,29,2008-09-11
224,16,2008-03-17
225,35,2011-01-05
226,24,2010-02-20
227,19,2010-12-06
228,37,2009-03-22
229,16,2007-04-15
230,37,2005-02-06
231,12,2011-01-02
232,27,2011-01-19
233,29,2010-10-16
234,5,2006-06-10
235,29,2005-04-02
236,14,2006-12-02
237,20,2006-12-06
238,24,2007-02-26
239,21,2007-07-15
240,12,2006-04-17
241,14,2006-01-12
242,1,2007-05-27
243,1,2011-07-15
244,20,2010-09-08
245,35,2009-11-23
246,27,2007-12-05
247,12,2009-03-04
248,35,2006-07-13
249,25,2010-10-18
250,12,2006-12-04
251,9,2007-10-19
252,18,2007-08-19
253,12,2005-01-01
254,37,2006-10-31
255,34,2010-04-15
256,8,2007-01-05
257,21,2006-07-18
258,13,2008-02-10
259,6,2010-01-13
260,37,2005-03-20
261,11,2005-09-29
262,17,2007-12-29
263,24,2005-04-25
264,1,2011-02-24
265,21,2005-12-13
266,13,2005-02-18
267,14,2006-09-14
268,1,2009-05-09
269,37,2008-06-20
270,34,2007-08-28
271,13,2005-10-13
272,11,2008-02-20
273,34,2010-04-23
274,14,2005-01-31
275,30,2007-10-23
276,30,2007-09-03
277,1,2009-06-13
278,3,2007-05-20
279,26,2010-09-10
280,25,2006-10-01
281,15,2008-01-13
282,34,2005-02-19
283,4,2010-01-24
284,26,2009-07-20
285,31,2005-04-28
286,37,2011-04-27
287,33,2009-12-13
288,13,2008-12-03
289,11,2010-05-16
290,38,2008-05-29
291,10,2005-08-21
292,21,2007-08-14
293,15,2010-07-16
294,33,2005-12-11
295,21,2010-05-12
296,36,2007-05-01
297,6,2011-08-15
298,35,2011-10-06
299,37,2008-08-08
300,3,2007-01-19
301,30,2007-06-01
302,10,2009-11-19
303,14,2011-07-14
304,25,2008-11-11
305,23,2011-06-06
306,4,2006-01-14
307,15,2007-12-12
308,24,2011-06-07
309,7,2008-07-23
310,1,2011-02-11
311,10,2010-05-09
312,21,2005-12-16
313,35,2011-04-30
314,13,2010-12-13
315,7,2005-04-23
316,26,2010-11-09
317,10,2010-07-31
318,1,2005-11-11
319,38,2010-01-25
320,20,2005-10-14
321,39,2011-02-12
322,8,2009-11-10
323,2,2005-03-31
324,15,2006-04-12
325,1,2006-05-31
326,22,2006-11-13
327,11,2011-08-11
328,7,2008-04-18
329,17,2009-02-08
330,8,2010-12-20
331,9,2009-05-28
332,7,2008-02-10
333,18,2008-11-19
334,22,2010-01-14
335,32,2005-05-20
336,2,2007-05-09
337,26,2011-07-13
338,7,2011-10-07
339,25,2006-07-23
340,32,2010-11-09
341,8,2005-12-05
342,34,2011-04-05
343,14,2010-12-05
344,3,2010-07-26
345,7,2009-07-16
346,21,2005-12-12
347,28,2010-01-13
348,17,2007-09-22
349,22,2007-11-04
350,27,2011-10-29
351,37,2005-08-06
352,21,2010-11-18
353,34,2007-04-07
354,38,2008-04-11
355,36,2010-08-12
356,35,2005-03-28
357,21,2009-04-25
358,8,2005-03-02
359,2,2007-12-24
360,38,2007-03-26
361,16,2007-10-12
362,11,2005-02-05
363,6,2005-05-13
364,33,2009-09-28
365,33,2009-02-17
366,37,2008-01-03
367,34,2010-01-22
368,20,2011-03-21
369,4,2009-12-17
370,19,2005-03-13
371,13,2008-04-24
372,12,2010-10-16
373,13,2010-11-12
374,26,2005-03-23
375,14,2008-11-16
376,20,2005-09-23
377,7,2011-09-23
378,3,2008-12-23
379,36,2005-11-04
380,29,2007-09-18
381,30,2011-05-21
382,34,2008-08-11
383,10,2009-03-04
384,24,2005-09-26
385,32,2009-03-24
386,6,2011-07-30
387,20,2005-12-13
388,14,2006-05-16
389,13,2009-05-06
390,22,2007-01-17
391,12,2009-08-06
392,28,2010-07-24
393,32,2010-01-17
394,17,2008-09-21
395,22,2010-08-22
396,26,2005-03-21
397,14,2009-04-13
398,16,2005-08-07
399,6,2008-09-19
400,18,2010-09-17
401,35,2010-01-20
402,19,2005-08-27
403,29,2007-05-09
404,9,2005-01-24
405,5,2005-06-25
406,4,2008-06-26
407,28,2005-01-04
408,12,2007-09-07
409,7,2008-10-18
410,25,2008-04-19
411,1,2008-12-01
412,36,2010-11-15
413,19,2010-12-28
414,11,2009-07-27
415,21,2011-10-15
416,12,2008-09-03
417,17,2005-12-20
418,1,2010-09-18
419,25,2007-12-17
420,30,2006-10-18
421,22,2007-07-10
422,37,2007-03-15
423,19,2010-07-07
424,15,2008-06-24
425,14,2009-10-07
426,1,2010-08-21
427,2,2005-06-19
428,28,2005-07-30
429,17,2006-05-10
430,8,2010-11-20
431,6,2010-11-02
432,12,2010-09-12
433,26,2010-10-07
434,35,2011-04-23
435,20,2005-08-17
436,31,2006-06-09
437,38,2010-04-25
438,9,2005-03-12
439,3,2010-09-22
440,5,2007-06-17
441,33,2009-09-21
442,4,2006-01-16
443,2,2010-04-30
444,13,2010-05-22
445,15,2005-09-08
446,22,2005-02-13
447,24,2009-04-26
448,31,2010-02-05
449,22,2006-02-26
450,10,2008-06-29
451,22,2011-02-19
452,5,2011-06-23
453,8,2007-01-09
454,1,2007-11-07
455,20,2005-04-18
456,21,2009-08-28
457,2,2010-12-29
458,21,2007-01-25
459,10,2006-11-14
460,18,2010-05-28
461,28,2010-08-29
462,15,2007-10-09
463,30,2006-01-16
464,14,2005-01-11
465,11,2011-07-23
466,10,2011-01-30
467,5,2011-08-19
468,9,2008-06-03
469,18,2010-11-26
470,8,2009-09-08
471,14,2010-08-27
472,12,2010-04-23
473,12,2008-01-03
474,15,2010-10-21
475,24,2007-01-24
476,26,2008-04-29
477,37,2010-12-19
478,9,2009-07-10
479,18,2009-09-07
480,19,2010-12-12
481,19,2011-04-24
482,39,2007-03-10
483,24,2011-07-05
484,26,2011-04-12
485,1,2010-01-30
486,4,2006-05-06
487,8,2006-05-13
488,2,2006-09-24
489,25,2005-02-14
490,17,2009-06-04
491,20,2011-05-01
492,13,2009-02-15
493,32,2007-06-10
494,10,2009-01-13
495,27,2005-05-15
496,3,2008-03-29
497,19,2009-01-30
498,32,2009-10-09
499,12,2009-02-02
500,37,2007-04-17
501,1,2006-12-13
502,25,2010-04-12
503,9,2005-04-17
504,12,2006-11-04
505,1,2007-05-30
506,32,2009-05-22
507,38,2011-04-02
508,38,2010-01-01
509,2,2006-06-15
510,17,2009-04-26
511,17,2009-10-29
512,20,2009-06-09
513,17,2005-08-29
514,2,2009-10-24
515,6,2007-01-01
516,17,2011-08-30
517,6,2009-07-01
518,13,2006-01-08
519,18,2008-09-21
520,30,2005-08-04
521,29,2006-01-17
522,37,2010-02-01
523,4,2011-10-20
524,21,2008-04-26
525,7,2008-09-17
526,31,2005-04-26
527,24,2008-09-29
528,26,2009-09-08
529,24,2006-02-27
530,35,2009-10-01
531,23,2007-09-10
532,24,2007-07-08
533,21,2008-01-24
534,31,2007-10-08
535,36,2006-03-27
536,21,2009-06-23
537,24,2009-01-14
538,35,2005-10-08
539,20,2006-08-11
540,25,2011-08-16
541,12,2005-04-23
542,37,2008-01-06
543,5,2005-09-05
544,28,2006-05-28
545,38,2011-10-25
546,11,2007-01-05
547,6,2009-12-03
548,4,2005-03-09
549,23,2009-04-16
550,23,2011-07-11
551,34,2009-12-11
552,13,2006-06-12
553,21,2009-08-10
554,38,2008-03-10
555,34,2011-02-21
556,28,2006-08-13
557,30,2005-05-26
558,19,2005-04-11
559,14,2007-07-06
560,14,2011-09-10
561,14,2011-01-25
562,36,2010-03-02
563,37,2005-08-11
564,34,2006-12-21
565,28,2007-05-20
566,34,2010-07-03
567,16,2008-12-04
568,13,2011-04-08
569,30,2007-01-22
570,35,2011-01-21
571,37,2009-12-25
572,2,2006-09-30
573,32,2005-09-25
574,3,2011-06-26
575,30,2010-05-20
576,30,2007-04-20
577,13,2006-07-17
578,35,2007-03-20
579,34,2007-03-04
580,36,2011-04-15
581,19,2005-08-12
582,29,2006-04-07
583,10,2010-10-12
584,39,2010-04-27
585,27,2005-04-23
586,5,2007-05-30
587,28,2007-08-12
588,17,2008-03-28
589,23,2008-12-19
590,2,2008-01-20
591,31,2005-06-12
592,36,2011-09-20
593,38,2005-04-06
594,29,2007-05-05
595,31,2007-06-15
596,27,2009-09-07
597,23,2008-03-09
598,7,2010-07-20
599,39,2009-04-16
600,13,2009-09-26
601,2,2010-10-18
602,37,2006-08-24
603,15,2010-03-14
604,33,2007-03-08
605,39,2005-08-05
606,6,2005-11-02
607,24,2006-09-30
608,13,2010-10-04
609,2,2007-06-11
610,19,2006-05-29
611,9,2008-07-09
612,20,2009-09-21
613,8,2005-12-12
614,19,2008-03-29
615,20,2005-10-03
616,35,2006-08-26
617,24,2005-01-28
618,8,2011-04-10
619,13,2009-09-25
620,7,2006-02-26
621,10,2010-02-16
622,4,2006-03-08
623,4,2009-02-09
624,8,2007-06-17
625,32,2009-10-31
626,34,2011-04-13
627,35,2007-09-13
628,16,2005-10-10
629,1,2006-08-06
630,34,2006-12-07
631,28,2005-12-04
632,3,2010-09-24
633,31,2005-10-13
634,4,2011-05-15
635,36,2009-09-01
636,31,2010-05-22
637,9,2009-05-23
638,20,2011-04-02
639,4,2005-03-16
640,10,2005-07-24
641,39,2010-08-29
642,13,2007-10-07
643,30,2006-08-31
644,7,2007-03-05
645,31,2008-11-16
646,10,2010-04-29
647,3,2005-04-27
648,15,2011-08-08
649,18,2008-05-15
650,15,2006-04-27
651,22,2008-08-09
652,27,2009-06-07
653,19,2007-04-30
654,25,2010-01-21
655,35,2008-06-08
656,11,2010-07-01
657,19,2009-07-15
658,30,2007-04-23
659,26,2005-09-05
660,20,2006-07-03
661,25,2005-05-08
662,15,2006-12-15
663,22,2009-03-24
664,16,2005-03-27
665,18,2009-07-07
666,18,2010-01-28
667,7,2006-02-16
668,27,2009-05-18
669,38,2011-10-18
670,10,2011-09-22
671,36,2009-09-25
672,37,2008-04-25
673,22,2007-11-26
674,26,2008-07-08
675,5,2005-06-08
676,14,2011-09-12
677,36,2011-07-03
678,7,2008-05-09
679,29,2007-07-30
680,15,2005-08-31
681,22,2010-03-04
682,11,2008-02-03
683,3,2010-07-20
684,1,2006-07-08
685,35,2010-06-04
686,37,2008-12-16
687,12,2006-05-28
688,15,2011-10-27
689,28,2009-12-13
690,37,2009-09-24
691,35,2008-05-26
692,13,2011-08-13
693,13,2005-03-04
694,18,2005-07-10
695,28,2005-11-08
696,30,2010-07-09
697,36,2006-05-17
698,35,2011-02-08
699,18,2008-07-20
700,34,2010-03-27
701,6,2005-02-15
702,14,2006-06-26
703,32,2011-10-12
704,28,2005-06-09
705,1,2005-11-25
706,36,2011-07-03
707,2,2009-03-27
708,37,2010-06-23
709,4,2010-06-01
710,30,2005-01-17
711,12,2007-06-04
712,26,2009-02-09
713,2,2011-01-22
714,14,2010-01-20
715,26,2009-05-15
716,37,2009-01-07
717,11,2006-09-24
718,37,2006-01-23
719,13,2006-02-28
720,39,2010-08-23
721,35,2006-04-19
722,8,2007-06-23
723,12,2009-12-09
724,9,2005-10-01
725,25,2010-12-02
726,1,2010-04-03
727,39,2011-01-24
728,21,2006-01-20
729,36,2005-10-06
730,17,2009-11-18
731,16,2006-03-06
732,2,2007-06-28
733,30,2007-01-03
734,8,2005-04-19
735,29,2007-06-04
736,31,2008-05-26
737,5,2005-10-09
738,31,2011-08-07
739,28,2006-03-27
740,9,2009-10-19
741,22,2007-06-12
742,39,2005-11-15
743,34,2005-12-09
744,24,2008-07-31
745,13,2006-08-14
746,21,2008-01-13
747,21,2011-10-11
748,24,2008-04-17
749,19,2005-04-21
750,33,2008-09-09
751,24,2005-06-30
752,15,2009-10-20
753,1,2010-08-01
754,35,2005-10-10
755,23,2010-10-19
756,26,2006-12-27
757,36,2010-05-09
758,22,2008-11-02
759,8,2005-04-19
760,32,2008-10-23
761,38,2008-05-14
762,23,2011-10-23
763,34,2006-09-15
764,29,2006-11-30
765,31,2005-10-25
766,24,2006-07-29
767,21,2011-09-18
768,36,2008-08-03
769,16,2007-03-17
770,9,2009-12-18
771,5,2006-05-07
772,37,2006-10-16
773,9,2005-06-02
774,39,2006-04-09
775,21,2006-03-02
776,21,2006-12-24
777,20,2007-10-27
778,3,2009-06-25
779,6,2006-07-25
780,39,2010-05-06
781,35,2009-06-17
782,29,2007-12-22
783,14,2010-12-20
784,36,2009-08-12
785,25,2011-10-02
786,36,2008-08-18
787,22,2008-03-01
788,21,2009-08-19
789,19,2006-04-23
790,29,2008-02-16
791,14,2006-05-06
792,18,2005-06-03
793,13,2005-08-13
794,8,2010-12-23
795,8,2011-04-22
796,4,2005-03-12
797,31,2006-03-10
798,28,2007-04-20
799,1,2007-12-28
800,7,2010-12-02
801,36,2010-01-23
802,6,2008-03-09
803,5,2009-04-17
804,5,2005-11-07
805,5,2006-07-08
806,26,2008-01-06
807,26,2011-08-21
808,25,2007-12-22
809,28,2007-11-30
810,32,2009-10-02
811,24,2011-03-03
812,24,2007-10-31
813,22,2011-06-25
814,37,2011-01-19
815,20,2006-04-05
816,7,2011-09-23
817,34,2010-11-27
818,3,2006-01-31
819,28,2011-08-02
820,14,2007-09-11
821,32,2008-09-03
822,2,2010-03-19
823,32,2006-08-01
824,5,2008-09-10
825,10,2006-06-27
826,39,2007-12-04
827,9,2007-09-12
828,1,2010-11-21
829,27,2008-09-08
830,9,2011-06-19
831,8,2011-09-19
832,24,2009-12-04
833,14,2007-04-02
834,12,2009-09-15
835,29,2008-12-27
836,19,2007-06-27
837,38,2007-05-12
838,16,2006-05-17
839,4,2011-01-17
840,26,2009-05-31
841,8,2006-06-05
842,27,2005-08-05
843,10,2011-09-23
844,30,2011-01-17
845,25,2008-07-30
846,30,2007-10-17
847,36,2008-07-01
848,20,2009-03-31
849,32,2010-07-29
850,24,2007-07-12
851,33,2009-07-26
852,24,2008-06-01
853,26,2008-09-14
854,25,2010-09-13
855,29,2005-10-11
856,35,2006-06-27
857,25,2008-08-08
858,37,2008-07-30
859,36,2008-04-28
860,13,2006-09-30
861,7,2010-10-23
862,4,2010-04-25
863,37,2009-01-27
864,21,2011-05-29
865,16,2010-04-12
866,26,2006-12-13
867,39,2010-11-02
868,14,2008-06-06
869,3,2005-03-08
870,3,2009-11-09
871,39,2006-08-29
872,11,2011-07-30
873,30,2010-10-31
874,10,2010-02-22
875,1,2006-11-20
876,16,2008-07-08
877,1,2010-12-06
878,36,2005-03-05
879,35,2009-05-16
880,32,2006-06-18
881,21,2007-08-22
882,29,2005-03-24
883,17,2006-05-01
884,8,2011-01-09
885,15,2005-12-04
886,6,2011-04-03
887,3,2011-08-21
888,1,2006-11-13
889,3,2006-04-03
890,38,2010-03-14
891,13,2009-09-18
892,9,2011-07-31
893,2,2005-06-21
894,10,2007-05-02
895,30,2010-11-05
896,18,2008-03-21
897,36,2011-09-24
898,29,2011-02-13
899,31,2005-06-28
900,39,2008-01-26
901,32,2011-06-27
902,31,2009-02-14
903,10,2011-04-19
904,23,2005-04-14
905,2,2005-10-14
906,10,2011-10-31
907,38,2011-02-28
908,2,2010-03-16
909,7,2007-08-05
910,34,2011-04-25
911,33,2010-09-07
912,28,2007-02-21
913,24,2006-02-22
914,10,2007-02-07
915,35,2009-12-01
916,39,2007-12-26
917,15,2008-10-12
918,38,2011-05-09
919,39,2011-01-02
920,18,2008-10-24
921,36,2011-08-20
922,12,2007-08-06
923,27,2009-10-16
924,38,2006-12-28
925,22,2008-12-31
926,17,2008-03-27
927,16,2009-02-25
928,19,2010-01-31
929,7,2007-11-28
930,8,2009-05-29
931,18,2008-04-04
932,38,2006-06-02
933,38,2008-07-25
934,28,2005-11-25
935,22,2007-06-12
936,39,2009-07-26
937,38,2010-05-17
938,21,2010-11-17
939,1,2006-03-04
940,6,2008-03-30
941,15,2005-11-27
942,34,2010-01-13
943,33,2011-04-20
944,39,2006-11-27
945,5,2009-11-09
946,29,2005-08-03
947,38,2009-07-09
948,20,2009-03-07
949,27,2008-04-04
950,38,2010-02-03
951,38,2006-12-08
952,24,2006-04-07
953,11,2008-08-03
954,25,2008-01-27
955,23,2009-06-12
956,32,2005-10-18
957,3,2008-09-16
958,39,2010-03-02
959,12,2011-01-04
960,9,2005-06-12
961,7,2007-09-25
962,30,2006-11-28
963,8,2005-08-18
964,5,2005-11-29
965,18,2007-06-27
966,30,2011-05-29
967,5,2005-05-09
968,17,2007-12-28
969,11,2010-11-11
970,6,2011-08-23
971,22,2008-03-02
972,26,2005-06-12
973,39,2010-05-30
974,16,2009-01-02
975,25,2011-06-19
976,4,2005-01-18
977,5,2007-11-25
978,24,2009-04-26
979,24,2011-01-23
980,32,2008-03-09
981,22,2008-11-06
982,22,2010-10-25
983,16,2005-09-25
984,32,2005-10-23
985,7,2011-09-10
986,39,2005-03-25
987,25,2007-12-12
988,10,2010-06-01
989,38,2005-08-06
990,37,2005-04-23
991,19,2009-10-23
992,5,2010-12-04
993,27,2010-09-30
994,27,2008-08-16
995,10,2009-08-18
996,6,2009-07-13
997,17,2005-12-15
998,14,2007-01-21
999,22,2006-09-06
1000,27,2008-04-29
1001,19,2008-01-08
1002,4,2006-10-22
1003,14,2009-11-10
1004,19,2009-12-18
1005,20,2007-04-03
1006,39,2006-05-05
1007,23,2007-09-21
1008,24,2007-08-13
1009,24,2011-10-14
1010,7,2011-03-12
1011,17,2010-06-04
1012,6,2005-02-01
1013,28,2007-02-23
1014,33,2006-01-20
1015,38,2010-11-25
1016,35,2009-02-24
1017,32,2005-01-18
1018,24,2007-04-28
1019,6,2005-04-28
1020,30,2010-09-15
1021,21,2010-06-14
1022,24,2011-09-09
1023,35,2009-06-12
1024,9,2008-06-17
1025,11,2008-02-22
1026,5,2010-06-14
1027,14,2005-02-09
1028,28,2011-10-07
1029,19,2005-10-05
1030,36,2009-07-31
1031,16,2011-10-31
1032,38,2006-05-07
1033,1,2010-02-11
1034,29,2006-09-02
1035,17,2009-03-25
1036,20,2010-01-23
1037,29,2008-07-04
1038,39,2006-04-10
1039,5,2006-06-24
1040,13,2007-09-01
1041,7,2008-09-27
1042,21,2005-05-17
1043,18,2010-02-04
1044,35,2011-03-03
1045,14,2007-03-14
1046,17,2006-05-29
1047,31,2009-08-09
1048,6,2009-03-06
1049,2,2005-07-20
1050,36,2008-03-17
1051,36,2011-03-12
1052,22,2009-07-16
1053,21,2008-10-03
1054,31,2008-10-02
1055,30,2010-02-27
1056,32,2006-05-13
1057,35,2009-12-29
1058,5,2005-09-14
1059,20,2005-08-23
1060,14,2005-05-30
1061,1,2006-04-24
1062,36,2006-10-19
1063,13,2007-07-20
1064,1,2010-12-21
1065,25,2008-02-12
1066,29,2010-01-01
1067,20,2008-08-04
1068,14,2007-10-27
1069,29,2009-11-06
1070,24,2008-05-16
1071,27,2009-01-20
1072,36,2005-01-13
1073,6,2008-09-07
1074,5,2007-10-14
1075,31,2005-07-07
1076,19,2009-11-16
1077,22,2011-04-07
1078,22,2006-05-07
1079,25,2008-08-18
1080,23,2010-03-19
1081,19,2008-01-25
1082,21,2009-07-28
1083,6,2010-03-18
1084,1,2005-12-22
1085,12,2007-05-07
1086,36,2010-03-15
1087,32,2005-06-22
1088,8,2008-10-27
1089,1,2009-10-28
1090,13,2008-10-14
1091,22,2009-10-21
1092,2,2009-09-09
1093,9,2008-01-17
1094,34,2006-10-09
1095,2,2006-04-24
1096,34,2008-02-04
1097,23,2005-07-21
1098,22,2007-03-28
1099,9,2005-05-09
1100,13,2008-07-19
1101,7,2011-03-08
1102,35,2006-01-04
1103,9,2010-07-16
1104,12,2006-11-12
1105,1,2005-11-05
1106,39,2007-04-21
1107,31,2011-07-03
1108,22,2010-07-17
1109,22,2011-05-19
1110,16,2006-12-10
1111,6,2009-11-13
1112,2,2009-05-17
1113,36,2009-03-31
1114,11,2011-08-04
1115,2,2008-05-25
1116,9,2007-05-26
1117,8,2010-08-29
1118,34,2006-02-08
1119,16,2010-10-14
1120,8,2009-05-21
1121,7,2007-06-29
1122,37,2006-02-05
1123,10,2009-04-11
1124,16,2007-08-19
1125,32,2009-01-22
1126,12,2005-07-30
1127,10,2007-08-21
1128,16,2006-04-04
1129,33,2011-08-04
1130,19,2005-08-25
1131,28,2006-01-17
1132,1,2007-07-31
1133,14,2005-05-18
1134,37,2006-02-02
1135,13,2008-10-25
1136,14,2011-04-22
1137,37,2005-10-11
1138,4,2007-06-27
1139,36,2008-01-07
1140,19,2009-01-03
1141,19,2007-06-23
1142,3,2005-06-24
1143,21,2007-04-22
1144,16,2005-11-09
1145,13,2009-01-11
1146,23,2008-09-10
1147,24,2009-03-07
1148,20,2005-02-06
1149,17,2009-12-30
1150,1,2007-06-07
1151,28,2006-07-26
1152,24,2010-06-03
1153,38,2007-02-01
1154,37,2011-03-13
1155,39,2006-03-06
1156,30,2009-11-22
1157,10,2006-10-21
1158,10,2010-01-26
1159,6,2010-04-03
1160,4,2007-03-06
1161,28,2009-12-04
1162,34,2005-08-31
1163,4,2008-07-27
1164,2,2010-10-09
1165,31,2007-11-17
1166,16,2009-08-28
1167,16,2005-11-22
1168,28,2010-02-18
1169,20,2010-08-19
1170,13,2010-09-24
1171,8,2008-10-06
1172,38,2011-03-18
1173,15,2008-11-30
1174,29,2007-04-07
1175,15,2006-09-23
1176,28,2007-09-09
1177,12,2008-03-14
1178,38,2008-07-18
1179,9,2008-09-02
1180,28,2011-04-11
1181,38,2008-12-07
1182,36,2006-02-22
1183,13,2011-05-27
1184,37,2008-10-24
1185,34,2005-07-11
1186,12,2009-08-17
1187,27,2007-02-27
1188,4,2009-12-02
1189,22,2008-08-25
1190,33,2008-01-22
1191,7,2006-11-05
1192,10,2009-06-10
1193,28,2007-06-27
1194,11,2010-06-22
1195,12,2007-08-26
1196,19,2007-11-04
1197,27,2007-02-17
1198,27,2007-01-05
1199,8,2011-05-29
1200,7,2006-03-14
1201,1,2009-08-20
1202,16,2006-05-27
1203,6,2007-03-11
1204,15,2005-09-22
1205,5,2006-05-17
1206,20,2010-10-14
1207,3,2010-11-25
1208,17,2006-08-03
1209,19,2010-06-10
1210,11,2008-05-09
1211,6,2006-09-29
1212,18,2005-03-14
1213,8,2011-05-21
1214,18,2008-06-26
1215,15,2010-11-20
1216,3,2011-05-07
1217,30,2006-07-16
1218,3,2005-07-01
1219,7,2005-03-18
1220,12,2010-07-09
1221,35,2007-04-11
1222,14,2007-03-09
1223,21,2010-03-22
1224,23,2011-05-17
1225,25,2011-10-28
1226,33,2008-09-12
1227,3,2008-02-20
1228,12,2006-10-16
1229,21,2005-09-14
1230,11,2011-08-31
1231,19,2009-01-08
1232,21,2011-06-05
1233,26,2010-03-20
1234,24,2008-01-15
1235,35,2005-08-21
1236,31,2011-07-31
1237,5,2006-06-22
1238,38,2008-11-03
1239,8,2006-10-25
1240,23,2009-01-05
1241,9,2008-01-21
1242,14,2006-06-05
1243,2,2008-10-08
1244,17,2009-09-27
1245,31,2011-04-22
1246,16,2009-11-24
1247,20,2009-11-08
